model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
Merlin III A,Piston,150.0,122.0,115.0,44.0,42.0,645.0,1525.0,1250.0,2300.0,1335.0,323.0,430.0,435.0,1310000.0
100 Darter (S.L. Industries),Piston,150.0,122.0,115.0,43.0,42.0,645.0,1525.0,1250.0,2300.0,1315.0,323.0,429.0,417.0,1310000.0
Merlin II A,Piston,195.0,117.0,116.0,44.0,52.0,870.0,1850.0,1390.0,2550.0,1834.0,322.0,430.0,539.0,1550000.0
CTSW,Piston,160.0,96.0,95.0,44.0,43.0,740.0,2160.0,1345.0,2220.0,1632.0,320.0,430.0,440.0,1500000.0
800XP,Piston,150.0,98.0,97.0,44.0,42.0,715.0,2390.0,1345.0,2220.0,1574.0,324.0,430.0,435.0,1200000.0
100 Darter (S.L. Industries),Piston,150.0,94.0,92.0,45.0,42.0,580.0,2390.0,1345.0,2220.0,1450.0,324.0,429.0,435.0,1200000.0
G V,Piston,150.0,94.0,92.0,45.0,42.0,580.0,2390.0,1345.0,2220.0,1405.0,319.0,429.0,418.0,1200000.0
100 Darter (S.L. Industries),Piston,150.0,122.0,115.0,43.0,42.0,645.0,1525.0,1250.0,2300.0,1300.0,323.0,434.0,515.0,1310000.0
G IV,Piston,145.0,121.0,114.0,43.0,42.0,645.0,1525.0,1250.0,2300.0,1330.0,318.0,434.0,515.0,1310000.0
100 Darter (S.L. Industries),Piston,145.0,121.0,114.0,43.0,42.0,675.0,1450.0,1200.0,2250.0,1330.0,317.0,432.0,515.0,1420000.0
100 Darter (S.L. Industries),Piston,145.0,122.0,114.0,51.0,42.0,730.0,1370.0,1115.0,2200.0,1325.0,317.0,432.0,515.0,1510000.0
GII (G1159) with tip tanks,Piston,145.0,117.0,108.0,50.0,37.0,660.0,1650.0,1115.0,2200.0,1260.0,300.0,432.0,420.0,1330000.0
100 Darter (S.L. Industries),Piston,145.0,122.0,104.0,50.0,42.0,690.0,1820.0,1145.0,2200.0,1205.0,300.0,432.0,410.0,1550000.0
GI (G-159) ceiling quoted w/APU,Piston,110.0,110.0,107.0,43.0,26.0,715.0,1340.0,1200.0,1670.0,1141.0,289.0,398.0,315.0,1470000.0
"HS125-700,A (Hawk-Sidd mfg) ('77=24,200 gross)",Piston,100.0,109.0,106.0,42.0,26.0,670.0,1385.0,1075.0,1600.0,1104.0,287.0,398.0,303.0,1400000.0
100 Darter (S.L. Industries),Piston,100.0,106.0,102.0,42.0,26.0,670.0,1385.0,1075.0,1600.0,1060.0,285.0,398.0,303.0,1265000.0
BH-124-400A (Beech mfg),Piston,100.0,108.0,103.0,42.0,26.0,670.0,1385.0,1075.0,1600.0,1040.0,285.0,393.0,303.0,1400000.0
100 Darter (S.L. Industries),Piston,100.0,104.0,100.0,42.0,26.0,670.0,1385.0,1075.0,1600.0,1020.0,285.0,393.0,303.0,1265000.0
1124A Westwind 2,Piston,100.0,106.0,102.0,42.0,26.0,670.0,1385.0,1075.0,1600.0,1065.0,285.0,393.0,303.0,1265000.0
100 Darter (S.L. Industries),Piston,100.0,90.0,85.0,43.0,26.0,560.0,2075.0,850.0,1650.0,1120.0,289.0,393.0,276.0,1070000.0
1123 Commodore Jet,Piston,100.0,109.0,102.0,43.0,26.0,670.0,1375.0,1075.0,1600.0,970.0,285.0,392.0,303.0,1265000.0
100 Darter (S.L. Industries),Piston,100.0,108.0,105.0,43.0,26.0,740.0,1205.0,1055.0,1500.0,965.0,253.0,400.0,320.0,1530000.0
1121 Jet Commander,Piston,100.0,108.0,104.0,47.0,26.0,740.0,1205.0,1055.0,1500.0,962.0,252.0,400.0,318.0,1530000.0
J250-SP,Piston,90.0,103.0,90.0,46.0,21.0,640.0,1850.0,1530.0,1500.0,850.0,249.0,399.0,315.0,1560000.0
J230-SP,Piston,85.0,102.0,88.0,46.0,21.0,620.0,1950.0,1530.0,1500.0,850.0,249.0,399.0,315.0,1510000.0
LA-4 Amphibian,Piston,85.0,104.0,100.0,43.0,25.0,640.0,1850.0,1530.0,1450.0,818.0,249.0,392.0,390.0,1550000.0
C-1 Amphibian,Jet,1846.0,311.0,305.0,67.0,2000.0,1609.0,3192.0,1525.0,6000.0,3550.0,367.0,463.0,1275.0,3100000.0
LA-4-200 Buccaneer (land specs),Piston,310.0,235.0,181.0,57.0,106.0,1200.0,1250.0,2350.0,3600.0,2500.0,302.0,428.0,1300.0,2500000.0
XL2,Piston,310.0,235.0,179.0,57.0,106.0,1200.0,1250.0,2350.0,3400.0,23.0,302.0,428.0,1300.0,1800000.0
Jetstar -8,Piston,310.0,235.0,190.0,57.0,106.0,1200.0,1250.0,2350.0,3400.0,2250.0,302.0,438.0,1300.0,1800000.0
100 Darter (S.L. Industries),Piston,270.0,197.0,187.0,59.0,90.0,1050.0,2223.0,1312.0,3305.0,2152.0,299.0,394.0,870.0,2500000.0
8:00 AM,Piston,265.0,164.0,149.0,54.0,90.0,1070.0,1985.0,1200.0,3250.0,2102.0,299.0,394.0,1005.0,1680000.0
Superstar I (601P Aerostar),Piston,270.0,197.0,177.0,59.0,90.0,1050.0,2223.0,1312.0,3305.0,2151.0,299.0,393.0,870.0,2500000.0
MX-7-160,Piston,260.0,166.0,157.0,54.0,68.0,1030.0,2150.0,1200.0,3260.0,2070.0,301.0,393.0,665.0,1650000.0
MX-7-180A,Piston,260.0,166.0,157.0,55.0,68.0,1088.0,1990.0,1200.0,3140.0,1905.0,301.0,393.0,665.0,1740000.0
M-7-235,Piston,210.0,170.0,163.0,54.0,48.0,914.0,1750.0,1275.0,2950.0,2035.0,301.0,427.0,620.0,2000000.0
100 Darter (S.L. Industries),Piston,200.0,150.0,142.0,51.0,48.0,950.0,1829.0,1039.0,2800.0,1773.0,301.0,427.0,575.0,1505000.0
M-5-235C,Piston,200.0,149.0,140.0,54.0,48.0,1020.0,1585.0,1310.0,2650.0,1691.0,298.0,393.0,569.0,1390000.0
100 Darter (S.L. Industries),Piston,200.0,152.0,143.0,53.0,60.0,1000.0,1460.0,1310.0,2550.0,1530.0,299.0,393.0,750.0,1700000.0
100 Darter (S.L. Industries),Piston,180.0,132.0,110.0,42.0,54.0,800.0,1706.0,1525.0,2300.0,1200.0,282.0,422.0,555.0,1800000.0
M-5-180C,Piston,100.0,122.0,103.0,27.0,25.0,790.0,975.0,1040.0,1320.0,825.0,279.0,410.0,434.0,1800000.0
MU-300 Diamond II,Jet,4750.0,513.0,459.0,81.0,19165.0,4000.0,4950.0,3500.0,45500.0,22573.0,796.0,761.0,4400.0,4100000.0
100 Darter (S.L. Industries),Jet,4500.0,513.0,459.0,81.0,19165.0,3500.0,5300.0,3500.0,45500.0,22573.0,796.0,761.0,4200.0,3900000.0
MU-300 Diamond I,Jet,3700.0,518.0,430.0,77.0,15520.0,3430.0,4700.0,2800.0,38800.0,21100.0,729.0,742.0,3500.0,4100000.0
100 Darter (S.L. Industries),Jet,5200.0,521.0,435.0,89.0,10684.0,3065.0,5260.0,2860.0,32000.0,18800.0,675.0,642.0,2500.0,3900000.0
"MU-2L,-2N (-2N empty weight=7,760)",Jet,4125.0,530.0,457.0,90.0,8420.0,3500.0,3800.0,2940.0,26455.0,16600.0,675.0,642.0,1200.0,4200000.0
100 Darter (S.L. Industries),Jet,4250.0,512.0,457.0,90.0,8980.0,3500.0,6400.0,4850.0,27337.0,15400.0,675.0,642.0,1630.0,4200000.0
MU-2J,Jet,4315.0,530.0,458.0,84.5,9250.0,3300.0,5000.0,3300.0,28660.0,15970.0,675.0,642.0,1610.0,4200000.0
100 Darter (S.L. Industries),Jet,4500.0,530.0,410.0,88.0,9098.0,3330.0,4950.0,2450.0,28660.0,17500.0,675.0,642.0,1614.0,3700000.0
MU-2F,Jet,3230.0,513.0,459.0,84.0,5912.0,4600.0,4615.0,2750.0,19300.0,11200.0,546.0,515.0,1828.0,3900000.0
100 Darter (S.L. Industries),Jet,3230.0,513.0,459.0,88.0,5912.0,4600.0,4615.0,2750.0,18740.0,10800.0,546.0,515.0,1828.0,4500000.0
Acclaim (M20TN),Jet,3230.0,459.0,426.0,92.0,5910.0,4200.0,4300.0,3300.0,18300.0,10800.0,544.0,515.0,1800.0,4500000.0
TLS (M20M),Propjet,620.0,182.0,170.0,58.0,2583.0,1600.0,1500.0,1940.0,12500.0,6881.0,621.0,780.0,300.0,2670000.0
100 Darter (S.L. Industries),Propjet,620.0,182.0,171.0,64.0,2457.0,1600.0,1940.0,1940.0,12500.0,7487.0,621.0,780.0,300.0,2670000.0
PFM (M20L),Propjet,579.0,165.0,150.0,57.0,2457.0,1300.0,1900.0,1995.0,11579.0,7250.0,621.0,780.0,713.0,2430000.0
Encore (MS20K),Piston,135.0,194.0,172.0,56.0,52.0,1280.0,1730.0,1877.0,3935.0,2765.0,337.0,534.0,1129.0,1800000.0
100 Darter (S.L. Industries),Piston,81.0,161.0,117.0,37.0,20.0,680.0,1560.0,1490.0,1609.0,1095.0,282.0,427.0,526.0,
205 (M20J),Piston,125.0,163.0,132.0,34.0,25.0,1105.0,1263.0,1235.0,1654.0,1166.0,282.0,428.0,422.0,
M-20C Ranger ('77-'78),Propjet,850.0,320.0,255.0,56.0,1887.0,1380.0,2840.0,2430.0,7394.0,4698.0,419.0,499.0,1520.0,3100000.0
M-20-E Super 21 Chaparral,Propjet,700.0,300.0,291.0,61.0,1887.0,2380.0,1591.0,2034.0,6579.0,4050.0,419.0,499.0,1563.0,3000000.0
100 Darter (S.L. Industries),Piston,250.0,200.0,187.0,54.0,86.0,1125.0,1953.0,1750.0,3083.0,1795.0,304.0,390.0,713.0,2500000.0
M-20-B Mark 21,Piston,250.0,167.0,160.0,54.0,86.0,1260.0,1953.0,1750.0,3083.0,1744.0,304.0,390.0,1100.0,2000000.0
100 Darter (S.L. Industries),Piston,200.0,177.0,115.0,56.0,55.0,937.0,1561.0,1474.0,2535.0,1642.0,305.0,394.0,637.0,1600000.0
M-20-Mark 20,Piston,180.0,132.0,117.0,51.0,54.0,790.0,1657.0,1394.0,2535.0,1477.0,300.0,384.0,713.0,1300000.0
100 Darter (S.L. Industries),Piston,160.0,177.0,106.0,50.0,41.0,738.0,1706.0,1378.0,2337.0,1411.0,303.0,384.0,713.0,1100000.0
H-Rangemaster (1975-'76),Jet,900.0,64.0,426.0,69.0,1686.0,3314.0,2297.0,2155.0,5920.0,3550.0,402.0,455.0,1300.0,4100000.0
100 Darter (S.L. Industries),Propjet,750.0,221.0,181.0,71.0,440.0,1650.0,4000.0,4400.0,13007.0,8007.0,594.0,603.0,713.0,2150000.0
100 Darter (S.L. Industries),Piston,100.0,164.0,120.0,46.0,23.0,1000.0,1706.0,1525.0,1235.0,644.0,223.0,359.0,600.0,1400000.0
100 Darter (S.L. Industries),Piston,400.0,226.0,213.0,71.0,230.0,1870.0,1525.0,1940.0,7600.0,5100.0,377.0,552.0,713.0,2220000.0
PA-31-350 Chieftain ('81=optional fuel),Piston,380.0,239.0,226.0,71.0,230.0,1900.0,1225.0,1840.0,7300.0,4500.0,377.0,552.0,713.0,3000000.0
100 Darter (S.L. Industries),Piston,400.0,213.0,201.0,68.0,230.0,1535.0,1706.0,2176.0,8000.0,5400.0,337.0,438.0,713.0,2220000.0
"PA-31-310 Turbo Navajo B,C (prior '80 less fuel)",Piston,400.0,213.0,201.0,70.0,264.0,1490.0,2050.0,2450.0,8800.0,5800.0,337.0,438.0,713.0,2000000.0
PA-31-300 Navajo,Propjet,1000.0,280.0,248.0,88.0,648.0,2635.0,3495.0,1525.0,14500.0,8737.0,712.0,684.0,1827.0,2990000.0
100 Darter (S.L. Industries),Propjet,940.0,177.0,256.0,86.0,648.0,2400.0,2050.0,1970.0,12500.0,8000.0,712.0,555.0,1250.0,2700000.0
PA-23 E Turbo Aztec (1971 length=30/2),Propjet,1000.0,278.0,248.0,88.0,648.0,2635.0,3340.0,2970.0,14500.0,9200.0,712.0,684.0,2040.0,2990000.0
100 Darter (S.L. Industries),Propjet,1000.0,283.0,261.0,87.0,648.0,2440.0,2850.0,2532.0,14000.0,9100.0,712.0,684.0,2040.0,3000000.0
"PA-23 D,E Aztec (prior '72 length=30/2)",Propjet,840.0,270.0,169.0,86.0,544.0,2400.0,2050.0,1970.0,12500.0,8200.0,712.0,555.0,1815.0,2700000.0
100 Darter (S.L. Industries),Propjet,900.0,303.0,264.0,92.0,648.0,2650.0,3080.0,2805.0,13230.0,8200.0,506.0,575.0,2178.0,2940000.0
PA-23 C Aztec,Propjet,900.0,300.0,265.0,92.0,648.0,2650.0,2920.0,3530.0,13230.0,8150.0,506.0,555.0,2025.0,2700000.0
100 Darter (S.L. Industries),Propjet,900.0,303.0,264.0,89.0,648.0,2800.0,2400.0,3360.0,12500.0,8090.0,506.0,555.0,2025.0,2940000.0
"PA34-180, Seneca V",Propjet,900.0,309.0,295.0,89.0,648.0,2780.0,2970.0,3240.0,12500.0,7800.0,506.0,555.0,2025.0,3140000.0
100 Darter (S.L. Industries),Propjet,840.0,283.0,169.0,83.0,648.0,2530.0,2150.0,1570.0,12500.0,7600.0,506.0,555.0,2670.0,2890000.0
PA-34-220T Seneca III (roc=t/o power),Propjet,665.0,177.0,257.0,76.0,386.0,2780.0,2970.0,3240.0,10000.0,6150.0,481.0,550.0,1318.0,2990000.0
100 Darter (S.L. Industries),Propjet,550.0,177.0,235.0,75.0,386.0,1950.0,2300.0,2380.0,9800.0,6075.0,481.0,550.0,1250.0,3100000.0
100 Darter (S.L. Industries),Piston,100.0,120.0,112.0,39.0,34.0,960.0,1706.0,1525.0,1320.0,649.0,244.0,438.0,1080.0,1400000.0
100 Darter (S.L. Industries),Piston,100.0,145.0,119.0,35.0,29.0,850.0,1050.0,1100.0,1320.0,760.0,244.0,378.0,730.0,1320000.0
PA-39 C/R Turbo Twin Comanche,Piston,100.0,133.0,116.0,36.0,18.0,850.0,1450.0,1410.0,1320.0,820.0,246.0,246.0,400.0,1320000.0
PA-30 B Turbo Twin Comanche,Jet,14750.0,516.0,459.0,56.0,41000.0,1200.0,5870.0,2950.0,89400.0,46800.0,1157.0,1122.0,6500.0,5100000.0
100 Darter (S.L. Industries),Jet,13850.0,505.0,459.0,115.0,29500.0,4122.0,5450.0,3190.0,75000.0,42500.0,1060.0,934.0,4220.0,4500000.0
PA-23-150 Apache,Jet,13850.0,510.0,459.0,108.0,29500.0,4219.0,5265.0,3393.0,73200.0,42500.0,1060.0,934.0,4420.0,4500000.0
100 Darter (S.L. Industries),Jet,11400.0,503.0,459.0,104.0,28300.0,4049.0,5115.0,3250.0,69700.0,38000.0,997.0,934.0,3767.0,4500000.0
100 Darter (S.L. Industries),Jet,11400.0,503.0,459.0,103.0,28300.0,4049.0,5115.0,3250.0,69700.0,38150.0,959.0,934.0,3680.0,4500000.0
PA-24-C 260 Comanche,Jet,11400.0,503.0,459.0,103.0,26800.0,4240.0,5750.0,3168.0,65500.0,37186.0,959.0,870.0,2795.0,4500000.0
100 Darter (S.L. Industries),Jet,11400.0,503.0,459.0,108.0,23300.0,4345.0,5625.0,3198.0,64800.0,36544.0,959.0,827.0,2592.0,4500000.0
PA-32R-301T Saratoga II TC,Propjet,1950.0,340.0,299.0,87.0,10463.0,1900.0,1706.0,1525.0,36000.0,23008.0,765.0,940.0,2164.0,3000000.0
100 Darter (S.L. Industries),Jet,3700.0,443.0,400.0,87.0,9450.0,3000.0,5800.0,3600.0,24800.0,14150.0,609.0,564.0,713.0,4100000.0
PA-32-300 '73-74 hgt=7/9 ('79 fuel=94 gal),Jet,3750.0,456.0,435.0,83.0,9450.0,4500.0,4850.0,2125.0,25000.0,12865.0,606.0,564.0,713.0,4100000.0
100 Darter (S.L. Industries),Jet,3360.0,443.0,385.0,77.0,9100.0,3100.0,5000.0,1990.0,23300.0,11920.0,569.0,564.0,713.0,4100000.0
PA-32-260 ('74-'78) 1974 height=7/9,Jet,3360.0,443.0,385.0,79.0,9100.0,4150.0,3800.0,2450.0,22700.0,12000.0,569.0,564.0,713.0,4100000.0
100 Darter (S.L. Industries),Jet,3700.0,476.0,415.0,89.0,9580.0,3500.0,5250.0,2350.0,23500.0,12800.0,627.0,537.0,2904.0,4500000.0
"PA-28R-,RT-,201T Turbo Arrow III, IV",Jet,3700.0,471.0,426.0,90.0,8710.0,3200.0,4950.0,2450.0,22850.0,12500.0,627.0,537.0,2440.0,4500000.0
100 Darter (S.L. Industries),Jet,3100.0,471.0,426.0,87.0,8620.0,4040.0,5750.0,2900.0,20700.0,11500.0,627.0,536.0,1450.0,4500000.0
PA-28-200R Arrow II (1973-'76),Jet,2950.0,471.0,426.0,84.0,7350.0,5000.0,5450.0,3900.0,18500.0,10500.0,605.0,519.0,1100.0,4500000.0
100 Darter (S.L. Industries),Jet,2850.0,471.0,426.0,82.0,6250.0,4400.0,5400.0,3900.0,17500.0,10500.0,605.0,519.0,950.0,4000000.0
100 Darter (S.L. Industries),Piston,120.0,125.0,120.0,39.0,36.0,700.0,1706.0,1525.0,1320.0,780.0,257.0,360.0,840.0,1500000.0
PA-28 180 Challenger & Archer,Piston,120.0,130.0,120.0,39.0,35.0,700.0,1706.0,1525.0,1320.0,800.0,257.0,389.0,800.0,1500000.0
100 Darter (S.L. Industries),Piston,180.0,122.0,114.0,39.0,40.0,800.0,1275.0,900.0,2400.0,1555.0,299.0,456.0,296.0,1300000.0
PA-28 C 150 Cherokee,Piston,180.0,123.0,117.0,45.0,30.0,800.0,1375.0,900.0,2350.0,1520.0,282.0,408.0,305.0,1350000.0
100 Darter (S.L. Industries),Piston,150.0,109.0,97.0,50.0,30.0,700.0,1550.0,900.0,2150.0,1450.0,282.0,408.0,320.0,950000.0
"PA-28 150,B 150 Cherokee",Piston,180.0,125.0,122.0,39.0,40.0,1000.0,1250.0,1525.0,2400.0,1345.0,299.0,456.0,296.0,1350000.0
100 Darter (S.L. Industries),Piston,180.0,149.0,143.0,39.0,40.0,800.0,1275.0,900.0,2400.0,1575.0,299.0,456.0,543.0,2000000.0
PA-28-151 Warrior (prior '77 stall=58),Piston,200.0,177.0,130.0,39.0,40.0,1200.0,875.0,900.0,2600.0,1535.0,299.0,456.0,455.0,1470000.0
100 Darter (S.L. Industries),Piston,200.0,135.0,130.0,39.0,40.0,1200.0,1050.0,950.0,2690.0,1555.0,299.0,456.0,455.0,1470000.0
PA-36-375 Brave (spray restr. category),Piston,125.0,162.0,125.0,49.0,30.0,682.0,1496.0,1519.0,1750.0,1160.0,244.0,345.0,505.0,
"PA-25 235 C,D Pawnee (normal category)",Jet,3300.0,496.0,435.0,106.0,2660.0,4050.0,1706.0,3440.0,41900.0,20999.0,725.0,653.0,713.0,4300000.0
100 Darter (S.L. Industries),Piston,90.0,96.0,83.0,37.0,25.0,660.0,1850.0,1540.0,1400.0,870.0,240.0,420.0,273.0,1600000.0
PA-22 135 Tri-Pacer,Piston,85.0,91.0,83.0,37.0,30.0,640.0,1850.0,1540.0,1400.0,791.0,236.0,415.0,346.0,1550000.0
100 Darter (S.L. Industries),Piston,65.0,91.0,78.0,37.0,14.0,550.0,1950.0,1540.0,1260.0,750.0,236.0,415.0,182.0,1400000.0
PA-18 150 Super Cub,Piston,325.0,260.0,250.0,77.0,165.0,1955.0,1980.0,2076.0,3625.0,200.0,337.0,438.0,1137.0,
PA-18 95 Super Cub,Piston,160.0,177.0,135.0,40.0,40.0,825.0,1180.0,500.0,2200.0,1330.0,281.0,393.0,540.0,1300000.0
100 Darter (S.L. Industries),Piston,180.0,177.0,140.0,40.0,40.0,920.0,1150.0,500.0,2400.0,1350.0,281.0,438.0,500.0,1500000.0
100 Darter (S.L. Industries),Piston,235.0,177.0,148.0,30.0,40.0,1350.0,600.0,600.0,2500.0,1500.0,273.0,398.0,478.0,2000000.0
PA-11,Piston,235.0,157.0,129.0,38.0,40.0,1900.0,540.0,540.0,2500.0,1425.0,282.0,398.0,360.0,2000000.0
100 Darter (S.L. Industries),Piston,235.0,177.0,150.0,33.0,40.0,1350.0,600.0,600.0,2300.0,1400.0,282.0,370.0,360.0,2000000.0
Kodiak 100,Piston,220.0,157.0,150.0,33.0,42.0,1250.0,585.0,600.0,2300.0,1300.0,278.0,370.0,485.0,1900000.0
G3,Piston,210.0,177.0,170.0,33.0,40.0,1250.0,600.0,600.0,2300.0,1400.0,273.0,370.0,430.0,2000000.0
Super 340 (Cessna 340 conversion),Piston,210.0,157.0,137.0,33.0,40.0,1250.0,600.0,600.0,2300.0,1350.0,273.0,370.0,345.0,1800000.0
100 Darter (S.L. Industries),Piston,180.0,177.0,136.0,33.0,40.0,900.0,800.0,600.0,2300.0,1300.0,273.0,370.0,525.0,1500000.0
TurboStream (Cessna 310 & 320 conv) 310hp,Piston,220.0,157.0,152.0,35.0,42.0,1250.0,600.0,650.0,2300.0,1280.0,264.0,356.0,530.0,1900000.0
100 Darter (S.L. Industries),Piston,210.0,157.0,143.0,35.0,42.0,1250.0,585.0,600.0,2100.0,1250.0,264.0,356.0,500.0,1800000.0
Rocket (Cessna 310 conversion),Piston,180.0,148.0,135.0,35.0,42.0,1000.0,700.0,600.0,2300.0,1250.0,270.0,356.0,525.0,1700000.0
305 Rocket,Piston,145.0,157.0,130.0,35.0,42.0,700.0,900.0,600.0,2100.0,1100.0,264.0,356.0,750.0,1200000.0
100 Darter (S.L. Industries),Piston,967.0,151.0,109.0,54.0,106.0,1400.0,1706.0,1600.0,9300.0,5500.0,374.0,696.0,713.0,2500000.0
100 Darter (S.L. Industries),Jet,2900.0,456.0,438.0,56.0,4260.0,3180.0,3950.0,2930.0,15780.0,9925.0,581.0,522.0,1530.0,4100000.0
"200 D Meyers (Prop Jets, Inc.)",Jet,2500.0,430.0,400.0,77.0,4260.0,3050.0,3850.0,2800.0,14630.0,9410.0,581.0,522.0,1513.0,4100000.0
100 Darter (S.L. Industries),Jet,2500.0,434.0,410.0,77.0,646.0,3000.0,4100.0,2700.0,13890.0,8300.0,580.0,521.0,1510.0,4100000.0
"200 Meyers (Prop Jets, Inc.)",Propjet,778.0,309.0,296.0,77.0,403.0,2200.0,2170.0,1880.0,11575.0,7650.0,473.0,470.0,1391.0,2975000.0
100 Darter (S.L. Industries),Propjet,727.0,322.0,313.0,73.0,403.0,2350.0,1800.0,1600.0,10470.0,7010.0,399.0,470.0,1600.0,3350000.0
100 Darter (S.L. Industries),Propjet,724.0,317.0,304.0,73.0,364.0,2840.0,1800.0,1600.0,10470.0,6864.0,399.0,470.0,1250.0,3220000.0
100 Darter (S.L. Industries),Propjet,776.0,296.0,283.0,77.0,364.0,2630.0,2170.0,1880.0,11575.0,7570.0,473.0,470.0,1200.0,2960000.0
100 Darter (S.L. Industries),Propjet,724.0,317.0,270.0,71.0,366.0,3100.0,1700.0,1490.0,9920.0,5920.0,399.0,470.0,1175.0,3320000.0
Sabre 75A,Propjet,724.0,300.0,265.0,73.0,366.0,2690.0,1870.0,1670.0,10800.0,6800.0,473.0,470.0,1150.0,3080000.0
100 Darter (S.L. Industries),Propjet,705.0,283.0,261.0,73.0,366.0,2590.0,1890.0,1670.0,10800.0,6700.0,473.0,470.0,1100.0,2700000.0
Sabre 65,Propjet,705.0,296.0,270.0,71.0,366.0,2875.0,1700.0,1320.0,9920.0,5790.0,399.0,470.0,1150.0,3040000.0
100 Darter (S.L. Industries),Propjet,605.0,261.0,169.0,64.0,285.0,2000.0,1600.0,1100.0,8930.0,5730.0,399.0,470.0,880.0,2600000.0
100 Darter (S.L. Industries),Piston,280.0,242.0,237.0,59.0,100.0,1380.0,1706.0,1525.0,3374.0,2370.0,321.0,437.0,1852.0,2500000.0
Sting Sport S3,Jet,280.0,242.0,175.0,56.0,89.0,1375.0,2100.0,2650.0,3368.0,2380.0,320.0,438.0,1275.0,2500000.0
108-3,Piston,270.0,236.0,223.0,58.0,96.0,1230.0,2050.0,2600.0,3368.0,2353.0,323.0,433.0,713.0,2500000.0
108-1,Piston,280.0,197.0,191.0,60.0,95.0,1200.0,1700.0,1600.0,3368.0,2200.0,321.0,433.0,900.0,2100000.0
GC-1B,Piston,217.0,161.0,169.0,57.0,61.0,1030.0,2550.0,1910.0,2900.0,2003.0,323.0,433.0,713.0,1930000.0
SA-160,Piston,310.0,217.0,200.0,60.0,92.0,1120.0,2079.0,1549.0,3680.0,2380.0,313.0,420.0,813.0,2400000.0
F-21B,Piston,310.0,197.0,170.0,59.0,100.0,1300.0,2600.0,2500.0,3380.0,2250.0,320.0,438.0,1450.0,2000000.0
100 Darter (S.L. Industries),Piston,220.0,213.0,197.0,60.0,80.0,1300.0,2000.0,2320.0,3100.0,2000.0,305.0,433.0,1100.0,2500000.0
P2006T,Piston,210.0,219.0,201.0,59.0,75.0,1080.0,2200.0,2300.0,2900.0,1800.0,305.0,433.0,980.0,2800000.0
A-36 Bonanza Prop Jet,Piston,200.0,178.0,171.0,54.0,64.0,1060.0,1700.0,1600.0,2740.0,1710.0,296.0,433.0,690.0,1860000.0
1000 Jet Prop,Piston,210.0,201.0,191.0,57.0,75.0,1080.0,2060.0,2280.0,2900.0,1800.0,305.0,433.0,980.0,2400000.0
100 Darter (S.L. Industries),Piston,200.0,175.0,170.0,53.0,64.0,1030.0,1550.0,1550.0,2740.0,1671.0,296.0,433.0,690.0,1880000.0
900 Jet Prop,Piston,200.0,161.0,156.0,54.0,64.0,1055.0,1385.0,1786.0,2740.0,1640.0,288.0,420.0,734.0,1880000.0
100 Darter (S.L. Industries),Piston,200.0,165.0,160.0,50.0,52.0,1125.0,1550.0,1550.0,2575.0,1600.0,278.0,420.0,601.0,2120000.0
"690A, Prop Jet (690 length=43/0 & height=14/11)",Piston,180.0,155.0,147.0,50.0,52.0,875.0,1250.0,1670.0,2525.0,1585.0,291.0,420.0,627.0,1700000.0
100 Darter (S.L. Industries),Piston,180.0,147.0,143.0,50.0,52.0,800.0,1395.0,1610.0,2575.0,1525.0,278.0,420.0,659.0,1650000.0
720 Alti-Cruiser,Piston,180.0,153.0,150.0,50.0,52.0,860.0,1395.0,1550.0,2575.0,1525.0,278.0,420.0,659.0,1950000.0
100 Darter (S.L. Industries),Piston,200.0,171.0,163.0,50.0,52.0,1110.0,1300.0,1365.0,2575.0,1575.0,278.0,420.0,601.0,1880000.0
685 pressurized,Piston,180.0,165.0,158.0,50.0,52.0,800.0,1250.0,1550.0,2575.0,1525.0,278.0,420.0,659.0,1720000.0
100 Darter (S.L. Industries),Piston,180.0,165.0,158.0,50.0,52.0,1150.0,1050.0,1100.0,2450.0,1525.0,278.0,420.0,745.0,1850000.0
680 W Turbo II Prop Jet,Piston,180.0,165.0,157.0,50.0,35.0,1150.0,1050.0,1100.0,2450.0,1440.0,277.0,420.0,513.0,2000000.0
100 Darter (S.L. Industries),Piston,150.0,149.0,143.0,50.0,35.0,900.0,1150.0,1100.0,2450.0,1415.0,277.0,420.0,655.0,1720000.0
680 FLP Pressurized Grand,Piston,180.0,128.0,117.0,50.0,52.0,740.0,1125.0,1100.0,2500.0,1455.0,278.0,420.0,715.0,1360000.0
100 Darter (S.L. Industries),Piston,90.0,103.0,96.0,40.0,24.0,835.0,953.0,1016.0,1450.0,950.0,248.0,360.0,484.0,1250000.0
680 FL Grand,Piston,90.0,112.0,108.0,39.0,24.0,640.0,1250.0,1350.0,1450.0,950.0,240.0,360.0,456.0,1730000.0
100 Darter (S.L. Industries),Piston,65.0,123.0,109.0,37.0,12.0,1000.0,1000.0,1000.0,850.0,575.0,211.0,313.0,713.0,1940000.0
100 Darter (S.L. Industries),Piston,285.0,177.0,166.0,48.0,40.0,1375.0,980.0,980.0,3315.0,2000.0,329.0,417.0,335.0,2150000.0
